DATAFLOW,LAST UPDATE,freq,age,indic_se,sex,sizeclas,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,MT,2014,1834,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,NL,2014,3431,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,PL,2014,1136,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,RO,2014,635,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,SE,2014,3705,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,SI,2014,1728,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,SK,2014,923,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,O,EUR,UK,2014,3450,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,AT,2014,,d
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,BE,2014,,d
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,BG,2014,446,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,CH,2014,6152,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,CY,2014,2251,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,CZ,2014,897,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,DE,2014,3118,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,DK,2014,3967,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,EE,2014,1027,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,ES,2014,2084,
ESTAT:EARN_SES14_20(1.0),13/10/2020 11:00,A,TOTAL,ERN,T,GE10,P,EUR,EU28,2014,2593,
